ilan_id,ilan_linki,ilan_tarihi,ilan_tipi,metrekare,bina_yasi,kat,konum,fiyat,para_birimi,il,ilce,skor,kademe,fiyat_per_m2,banyo_sayisi,kat_sayisi,isinma_tipi,cephe,kullanim_durumu,oda_sayisi_yeni,salon_sayisi,kat_sayisi_encoded,cephe_kuzey,cephe_guney,cephe_dogu,cephe_bati
96972-993,https://www.hepsiemlak.com/amasya-merzifon-sofular-satilik/daire/96972-993,14-04-2025,Daire,50.0,10.0,1. Kat,Amasya / Merzifon / Sofular Mah.,1300000,TL,Amasya,Merzifon,0.547,2. Kademe,26000.0,1.0,4.0,Kombi,Güney,Boş,1,1,1.0,0,1,0,0
54400-6768,https://www.hepsiemlak.com/ankara-polatli-yeni-satilik/daire/54400-6768,15-04-2025,Daire,160.0,21.0,3. Kat,Ankara / Polatlı / Yeni Mah.,1300000,TL,Ankara,Polatlı,0.581,2. Kademe,8125.0,1.0,3.0,Kombi,"Kuzey, Güney, Batı",Kiracılı,3,1,3.0,1,1,0,1
89044-199,https://www.hepsiemlak.com/konya-eregli-turbe-satilik/daire/89044-199,19-04-2025,Daire,110.0,30.0,4. Kat,Konya / Ereğli / Türbe Mah.,1300000,TL,Konya,Ereğli,0.453,2. Kademe,11818.18,1.0,4.0,Kombi,Güney,Kiracılı,2,1,4.0,0,1,0,0
148392-90,https://www.hepsiemlak.com/karabuk-merkez-kilavuzlar-satilik/daire/148392-90,20-03-2025,Daire,54.0,3.0,Zemin,Karabük / Merkez / Kılavuzlar Mah.,1300000,TL,Karabük,Merkez,0.962,2. Kademe,24074.07,1.0,5.0,Kombi,"Kuzey, Güney, Doğu, Batı",Boş,1,1,0.0,1,1,1,1
67388-1041,https://www.hepsiemlak.com/denizli-merkezefendi-degirmenonu-satilik/daire/67388-1041,16-03-2025,Daire,40.0,10.0,1. Kat,Denizli / Merkezefendi / Değirmenönü Mah.,1300000,TL,Denizli,Merkezefendi,2.375,1. Kademe,32500.0,1.0,3.0,Kombi,"Güney, Doğu, Batı",Kiracılı,1,1,1.0,0,1,1,1
104017-1338,https://www.hepsiemlak.com/gaziantep-nizip-eyup-sultan-satilik/daire/104017-1338,12-03-2025,Daire,50.0,10.0,5. Kat,Gaziantep / Nizip / Eyüp Sultan Mah.,1300000,TL,Gaziantep,Nizip,-0.157,3. Kademe,26000.0,1.0,5.0,Kombi,Kuzey,Mülk Sahibi,1,1,5.0,1,0,0,0
131388-43,https://www.hepsiemlak.com/manisa-salihli-mithatpasa-satilik/daire/131388-43,22-04-2025,Daire,90.0,30.0,3. Kat,Manisa / Salihli / Mithatpaşa Mah.,1300000,TL,Manisa,Salihli,0.616,2. Kademe,14444.44,1.0,4.0,Klima,"Doğu, Batı",Boş,2,1,3.0,0,0,1,1
81590-765,https://www.hepsiemlak.com/bursa-gemlik-kayhan-satilik/daire/81590-765,24-04-2025,Daire,120.0,35.0,5. Kat,Bursa / Gemlik / Kayhan Mah.,1300000,TL,Bursa,Gemlik,0.743,2. Kademe,10833.33,1.0,5.0,Kombi,Güney,Kiracılı,3,1,5.0,0,1,0,0
149768-10,https://www.hepsiemlak.com/van-ipekyolu-serefiye-satilik/daire/149768-10,09-04-2025,Daire,55.0,5.0,5. Kat,Van / İpekyolu / Şerefiye Mah.,1300000,TL,Van,İpekyolu,0.404,2. Kademe,23636.36,1.0,5.0,Kombi,Güney,Kiracılı,1,1,5.0,0,1,0,0
76595-499,https://www.hepsiemlak.com/balikesir-bandirma-haci-yusuf-satilik/daire/76595-499,17-03-2025,Daire,85.0,31.0,Yüksek Giriş,Balıkesir / Bandırma / Hacı Yusuf Mah.,1300000,TL,Balıkesir,Bandırma,1.072,2. Kademe,15294.12,1.0,3.0,Soba,"Kuzey, Güney, Doğu, Batı",Boş,2,1,0.0,1,1,1,1
128689-138,https://www.hepsiemlak.com/istanbul-esenyurt-fatih-satilik/daire/128689-138,13-03-2025,Daire,125.0,5.0,Ara Kat,İstanbul / Esenyurt / Fatih Mah.,1300000,TL,İstanbul,Esenyurt,2.479,1. Kademe,10400.0,1.0,6.0,Kombi,"Kuzey, Güney, Batı",Boş,2,1,3.0,1,1,0,1
131521-661,https://www.hepsiemlak.com/denizli-merkezefendi-ilbade-satilik/daire/131521-661,23-04-2025,Daire,45.0,10.0,En Üst Kat,Denizli / Merkezefendi / İlbade Mah.,1300000,TL,Denizli,Merkezefendi,2.375,1. Kademe,28888.89,1.0,3.0,Kombi,"Kuzey, Güney, Doğu, Batı",Kiracılı,1,1,3.0,1,1,1,1
121775-417,https://www.hepsiemlak.com/karaman-merkez-gevher-hatun-satilik/daire/121775-417,16-04-2025,Daire,55.0,1.0,1. Kat,Karaman / Merkez / Gevher Hatun Mah.,1300000,TL,Karaman,Merkez,0.761,2. Kademe,23636.36,1.0,5.0,Kombi,"Kuzey, Güney, Doğu, Batı",Boş,1,1,1.0,1,1,1,1
128440-397,https://www.hepsiemlak.com/konya-eregli-atakent-satilik/daire/128440-397,21-04-2025,Daire,60.0,5.0,4. Kat,Konya / Ereğli / Atakent Mah.,1300000,TL,Konya,Ereğli,0.453,2. Kademe,21666.67,1.0,9.0,Kombi,"Güney, Batı",Kiracılı,1,1,4.0,0,1,0,1
99290-1340,https://www.hepsiemlak.com/ankara-polatli-kurtulus-satilik/daire/99290-1340,19-04-2025,Daire,115.0,25.0,3. Kat,Ankara / Polatlı / Kurtuluş Mah.,1300000,TL,Ankara,Polatlı,0.581,2. Kademe,11304.35,1.0,3.0,Kombi,"Güney, Doğu",Mülk Sahibi,3,1,3.0,0,1,1,0
140021-266,https://www.hepsiemlak.com/istanbul-esenyurt-pinar-satilik/daire/140021-266,25-04-2025,Daire,110.0,2.0,Bahçe Katı,İstanbul / Esenyurt / Pınar Mah.,1300000,TL,İstanbul,Esenyurt,2.479,1. Kademe,11818.18,1.0,5.0,Kombi,Güney,Boş,2,1,0.0,0,1,0,0
131000-580,https://www.hepsiemlak.com/tekirdag-sarkoy-cumhuriyet-satilik/daire/131000-580,25-04-2025,Daire,45.0,32.0,Bahçe Katı,Tekirdağ / Şarköy / Cumhuriyet Mah.,1300000,TL,Tekirdağ,Şarköy,0.097,3. Kademe,28888.89,1.0,3.0,Soba,Batı,Boş,1,1,0.0,0,0,0,1
122596-1539,https://www.hepsiemlak.com/kayseri-kocasinan-yavuz-selim-satilik/daire/122596-1539,25-04-2025,Daire,150.0,30.0,1. Kat,Kayseri / Kocasinan / Yavuz Selim Mah.,1300000,TL,Kayseri,Kocasinan,1.558,2. Kademe,8666.67,1.0,5.0,Soba,"Kuzey, Güney",Boş,3,1,1.0,1,1,0,0
131465-183,https://www.hepsiemlak.com/aydin-kosk-carsi-satilik/daire/131465-183,25-04-2025,Daire,65.0,6.0,3. Kat,Aydın / Köşk / Çarşı Mah.,1300000,TL,Aydın,Köşk,-0.306,4. Kademe,20000.0,1.0,4.0,Klima,"Kuzey, Doğu",Boş,2,1,3.0,1,0,1,0
7564-472,https://www.hepsiemlak.com/kahramanmaras-dulkadiroglu-pinarbasi-satilik/daire/7564-472,24-04-2025,Daire,58.0,5.0,2. Kat,Kahramanmaraş / Dulkadiroğlu / Pınarbaşı Mah.,1300000,TL,Kahramanmaraş,Dulkadiroğlu,0.595,2. Kademe,22413.79,1.0,3.0,Kombi,Batı,Boş,1,1,2.0,0,0,0,1
99290-1272,https://www.hepsiemlak.com/ankara-polatli-yeni-satilik/daire/99290-1272,19-04-2025,Daire,120.0,25.0,En Üst Kat,Ankara / Polatlı / Yeni Mah.,1300000,TL,Ankara,Polatlı,0.581,2. Kademe,10833.33,1.0,3.0,Kombi,Kuzey,Kiracılı,3,1,3.0,1,0,0,0
148140-20,https://www.hepsiemlak.com/siirt-merkez-bahcelievler-satilik/daire/148140-20,19-03-2025,Daire,140.0,31.0,Ara Kat,Siirt / Merkez / Bahçelievler Mah.,1300000,TL,Siirt,Merkez,0.074,3. Kademe,9285.71,1.0,5.0,Kombi,"Kuzey, Güney, Batı",Kiracılı,3,1,2.0,1,1,0,1
2168-2240,https://www.hepsiemlak.com/konya-karatay-nakipoglu-satilik/daire/2168-2240,03-04-2025,Daire,125.0,30.0,3. Kat,Konya / Karatay / Nakipoğlu Mah.,1300000,TL,Konya,Karatay,1.481,2. Kademe,10400.0,1.0,3.0,Kombi,"Kuzey, Güney",Kiracılı,3,1,3.0,1,1,0,0
139363-191,https://www.hepsiemlak.com/kirikkale-merkez-sanayi-satilik/daire/139363-191,22-03-2025,Daire,140.0,31.0,En Üst Kat,Kırıkkale / Merkez / Sanayi Mah.,1300000,TL,Kırıkkale,Merkez,0.726,2. Kademe,9285.71,1.0,3.0,Kombi,Güney,Kiracılı,3,1,3.0,0,1,0,0
148948-78,https://www.hepsiemlak.com/ankara-polatli-sentepe-satilik/daire/148948-78,10-04-2025,Daire,100.0,15.0,Ara Kat,Ankara / Polatlı / Şentepe Mah.,1300000,TL,Ankara,Polatlı,0.581,2. Kademe,13000.0,1.0,5.0,Kombi,"Güney, Batı",Mülk Sahibi,2,1,2.0,0,1,0,1
23840-2383,https://www.hepsiemlak.com/karaman-merkez-kazim-karabekir-pasa-satilik/daire/23840-2383,12-04-2025,Daire,120.0,40.0,5. Kat,Karaman / Merkez / Kazım Karabekir Paşa Mah.,1300000,TL,Karaman,Merkez,0.761,2. Kademe,10833.33,1.0,5.0,Kombi,"Güney, Batı",Boş,3,1,5.0,0,1,0,1
130477-174,https://www.hepsiemlak.com/kirsehir-merkez-guldiken-satilik/daire/130477-174,25-03-2025,Daire,135.0,27.0,En Üst Kat,Kırşehir / Merkez / Güldiken Mah.,1300000,TL,Kırşehir,Merkez,0.686,2. Kademe,9629.63,1.0,5.0,Kombi,"Kuzey, Doğu, Batı",Boş,3,1,5.0,1,0,1,1
3863-932,https://www.hepsiemlak.com/erzincan-merkez-menguceli-satilik/daire/3863-932,19-04-2025,Daire,88.0,10.0,3. Kat,Erzincan / Merkez / Mengüceli Mah.,1300000,TL,Erzincan,Merkez,0.724,2. Kademe,14772.73,1.0,3.0,Kombi,"Kuzey, Güney, Doğu, Batı",Kiracılı,2,1,3.0,1,1,1,1
15474-1868,https://www.hepsiemlak.com/ankara-sincan-maresal-cakmak-satilik/daire/15474-1868,19-04-2025,Daire,80.0,26.0,Bahçe Katı,Ankara / Sincan / Mareşal Çakmak Mah.,1300000,TL,Ankara,Sincan,1.05,2. Kademe,16250.0,1.0,4.0,Kombi,"Güney, Batı",Kiracılı,1,1,0.0,0,1,0,1
129736-874,https://www.hepsiemlak.com/van-ipekyolu-bahcivan-satilik/daire/129736-874,22-04-2025,Daire,55.0,5.0,3. Kat,Van / İpekyolu / Bahçıvan Mah.,1300000,TL,Van,İpekyolu,0.404,2. Kademe,23636.36,1.0,6.0,Kombi,Doğu,Boş,1,1,3.0,0,0,1,0
69973-515,https://www.hepsiemlak.com/bayburt-merkez-singah-satilik/daire/69973-515,22-04-2025,Daire,75.0,8.0,Yüksek Giriş,Bayburt / Merkez / Şingah Mah.,1300000,TL,Bayburt,Merkez,0.161,3. Kademe,17333.33,1.0,5.0,Kombi,Doğu,Belirtilmemiş,2,1,0.0,0,0,1,0
153875-15,https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-satilik/daire/153875-15,22-03-2025,Daire,55.0,5.0,2. Kat,Afyonkarahisar / Merkez / Erenler Mah.,1300000,TL,Afyonkarahisar,Merkez,1.178,2. Kademe,23636.36,1.0,5.0,Kombi,Güney,Kiracılı,1,1,2.0,0,1,0,0
123617-1161,https://www.hepsiemlak.com/duzce-merkez-hatipli-ketenciler-hatipli-satilik/daire/123617-1161,19-04-2025,Daire,55.0,1.0,Zemin,Düzce / Merkez / Hatipli Ketenciler (Hatipli) Mah.,1300000,TL,Düzce,Merkez,1.032,2. Kademe,23636.36,1.0,4.0,Yerden Isıtma,"Kuzey, Güney, Doğu, Batı",Boş,1,1,0.0,1,1,1,1
124367-149,https://www.hepsiemlak.com/afyonkarahisar-merkez-marulcu-satilik/daire/124367-149,18-04-2025,Daire,95.0,31.0,4. Kat,Afyonkarahisar / Merkez / Marulcu Mah.,1300000,TL,Afyonkarahisar,Merkez,1.178,2. Kademe,13684.21,1.0,4.0,Kombi,"Güney, Batı",Kiracılı,2,1,4.0,0,1,0,1
0-44431994,https://www.hepsiemlak.com/usak-merkez-aybey-satilik/daire/0-44431994,07-04-2025,Daire,90.0,10.0,3. Kat,Uşak / Merkez / Aybey Mah.,1300000,TL,Uşak,Merkez,1.204,2. Kademe,14444.44,1.0,6.0,Kombi,Güney,Mülk Sahibi,2,1,3.0,0,1,0,0
135843-69,https://www.hepsiemlak.com/istanbul-esenyurt-necip-fazil-kisakurek-satilik/daire/135843-69,09-04-2025,Daire,90.0,15.0,Bahçe Katı,İstanbul / Esenyurt / Necip Fazıl Kısakürek Mah.,1300000,TL,İstanbul,Esenyurt,2.479,1. Kademe,14444.44,1.0,5.0,Kombi,"Kuzey, Güney",Boş,2,1,0.0,1,1,0,0
0-41777958,https://www.hepsiemlak.com/bitlis-tatvan-benekli-satilik/daire/0-41777958,22-04-2025,Daire,48.0,1.0,4. Kat,Bitlis / Tatvan / Benekli Mah.,1310000,TL,Bitlis,Tatvan,-0.128,3. Kademe,27291.67,1.0,4.0,Kombi,"Kuzey, Doğu",Kiracılı,1,1,4.0,1,0,1,0
92198-1867,https://www.hepsiemlak.com/samsun-ilkadim-bahcelievler-satilik/daire/92198-1867,10-04-2025,Daire,110.0,30.0,Yüksek Giriş,Samsun / İlkadım / Bahçelievler Mah.,1310000,TL,Samsun,İlkadım,1.343,2. Kademe,11909.09,1.0,3.0,Kombi,"Kuzey, Güney, Doğu, Batı",Boş,2,1,0.0,1,1,1,1
108760-332,https://www.hepsiemlak.com/usak-merkez-ataturk-satilik/daire/108760-332,28-03-2025,Daire,45.0,15.0,Ara Kat,Uşak / Merkez / Atatürk Mah.,1310000,TL,Uşak,Merkez,1.204,2. Kademe,29111.11,1.0,4.0,Kombi,"Güney, Batı",Boş,1,1,2.0,0,1,0,1
134942-444,https://www.hepsiemlak.com/duzce-merkez-sehit-murat-demir-satilik/daire/134942-444,07-04-2025,Daire,65.0,4.0,2. Kat,Düzce / Merkez / Şehit Murat Demir Mah.,1315000,TL,Düzce,Merkez,1.032,2. Kademe,20230.77,1.0,4.0,Kombi,Güney,Boş,1,1,2.0,0,1,0,0
137235-435,https://www.hepsiemlak.com/tekirdag-cerkezkoy-velikoy-satilik/daire/137235-435,17-04-2025,Daire,65.0,5.0,3. Kat,Tekirdağ / Çerkezköy / Veliköy Mah.,1320000,TL,Tekirdağ,Çerkezköy,1.034,2. Kademe,20307.69,1.0,5.0,Belirtilmemiş,Batı,Kiracılı,1,1,3.0,0,0,0,1
134211-264,https://www.hepsiemlak.com/hatay-antakya-serinyol-satilik/daire/134211-264,09-03-2025,Daire,60.0,11.0,6. Kat,Hatay / Antakya / Serinyol Mah.,1320000,TL,Hatay,Antakya,1.146,2. Kademe,22000.0,1.0,7.0,Merkezi,"Güney, Batı",Kiracılı,3,1,6.0,0,1,0,1
91207-3482,https://www.hepsiemlak.com/kayseri-kocasinan-mevlana-satilik/daire/91207-3482,09-03-2025,Daire,140.0,21.0,Zemin,Kayseri / Kocasinan / Mevlana Mah.,1320000,TL,Kayseri,Kocasinan,1.558,2. Kademe,9428.57,1.0,6.0,Merkezi,"Güney, Batı",Boş,2,1,0.0,0,1,0,1
141650-174,https://www.hepsiemlak.com/aydin-nazilli-karacay-satilik/daire/141650-174,20-04-2025,Daire,55.0,6.0,3. Kat,Aydın / Nazilli / Karaçay Mah.,1320000,TL,Aydın,Nazilli,0.756,2. Kademe,24000.0,1.0,3.0,Kombi,Kuzey,Boş,1,1,3.0,1,0,0,0
112892-931,https://www.hepsiemlak.com/konya-eregli-fatih-satilik/daire/112892-931,23-04-2025,Daire,50.0,6.0,Ara Kat,Konya / Ereğli / Fatih Mah.,1320000,TL,Konya,Ereğli,0.453,2. Kademe,26400.0,1.0,3.0,Kombi,Kuzey,Boş,1,1,2.0,1,0,0,0
153865-96,https://www.hepsiemlak.com/adana-saricam-osmangazi-satilik/daire/153865-96,25-04-2025,Daire,60.0,1.0,2. Kat,Adana / Sarıçam / Osmangazi Mah.,1320000,TL,Adana,Sarıçam,0.862,2. Kademe,22000.0,1.0,12.0,Kat Kaloriferi,"Güney, Doğu",Boş,1,1,2.0,0,1,1,0
146022-46,https://www.hepsiemlak.com/bursa-gemlik-dr-ziya-kaya-satilik/daire/146022-46,24-04-2025,Daire,95.0,35.0,3. Kat,Bursa / Gemlik / Dr. Ziya Kaya Mah.,1320000,TL,Bursa,Gemlik,0.743,2. Kademe,13894.74,1.0,5.0,Kombi,Doğu,Boş,2,1,3.0,0,0,1,0
47825-815,https://www.hepsiemlak.com/ankara-polatli-cumhuriyet-satilik/daire/47825-815,15-04-2025,Daire,130.0,22.0,4. Kat,Ankara / Polatlı / Cumhuriyet Mah.,1320000,TL,Ankara,Polatlı,0.581,2. Kademe,10153.85,1.0,4.0,Kombi,"Güney, Batı",Boş,3,1,4.0,0,1,0,1
151583-59,https://www.hepsiemlak.com/corum-merkez-bahcelievler-satilik/daire/151583-59,22-04-2025,Daire,115.0,31.0,Bahçe Katı,Çorum / Merkez / Bahçelievler Mah.,1320000,TL,Çorum,Merkez,1.026,2. Kademe,11478.26,1.0,6.0,Kombi,"Güney, Doğu",Kiracılı,3,1,0.0,0,1,1,0
146679-273,https://www.hepsiemlak.com/konya-eregli-aydinlar-satilik/daire/146679-273,18-04-2025,Daire,55.0,1.0,En Üst Kat,Konya / Ereğli / Aydınlar Mah.,1320000,TL,Konya,Ereğli,0.453,2. Kademe,24000.0,1.0,5.0,Kombi,"Doğu, Batı",Boş,1,1,5.0,0,0,1,1
142362-97,https://www.hepsiemlak.com/kayseri-melikgazi-demokrasi-satilik/daire/142362-97,21-04-2025,Daire,85.0,5.0,1. Kat,Kayseri / Melikgazi / Demokrasi Mah.,1325000,TL,Kayseri,Melikgazi,1.983,1. Kademe,15588.24,1.0,4.0,Merkezi (Pay Ölçer),"Güney, Doğu",Boş,2,1,1.0,0,1,1,0
152644-7,https://www.hepsiemlak.com/kirikkale-merkez-yenidogan-satilik/daire/152644-7,25-04-2025,Daire,130.0,21.0,3. Kat,Kırıkkale / Merkez / Yenidoğan Mah.,1325000,TL,Kırıkkale,Merkez,0.726,2. Kademe,10192.31,1.0,3.0,Kombi,Batı,Mülk Sahibi,3,1,3.0,0,0,0,1
4310-3109,https://www.hepsiemlak.com/adana-saricam-carkipare-satilik/daire/4310-3109,14-03-2025,Daire,60.0,3.0,7. Kat,Adana / Sarıçam / Çarkıpare Mah.,1325000,TL,Adana,Sarıçam,0.862,2. Kademe,22083.33,1.0,7.0,Kombi,Güney,Boş,1,1,7.0,0,1,0,0
111753-2305,https://www.hepsiemlak.com/istanbul-esenyurt-pinar-satilik/daire/111753-2305,27-03-2025,Daire,105.0,3.0,Bahçe Katı,İstanbul / Esenyurt / Pınar Mah.,1325000,TL,İstanbul,Esenyurt,2.479,1. Kademe,12619.05,2.0,5.0,Merkezi,"Kuzey, Güney, Doğu, Batı",Boş,2,1,0.0,1,1,1,1
151270-138,https://www.hepsiemlak.com/karaman-merkez-tabduk-emre-satilik/daire/151270-138,17-04-2025,Daire,55.0,8.0,1. Kat,Karaman / Merkez / Tabduk Emre Mah.,1325000,TL,Karaman,Merkez,0.761,2. Kademe,24090.91,1.0,4.0,Kombi,Batı,Belirtilmemiş,1,1,1.0,0,0,0,1
134211-294,https://www.hepsiemlak.com/hatay-antakya-zulufluhan-satilik/daire/134211-294,09-03-2025,Daire,62.0,5.0,2. Kat,Hatay / Antakya / Zülüflühan Mah.,1325000,TL,Hatay,Antakya,1.146,2. Kademe,21370.97,1.0,4.0,Merkezi,"Güney, Batı",Boş,2,1,2.0,0,1,0,1
141407-257,https://www.hepsiemlak.com/kayseri-develi-ibrahimaga-satilik/daire/141407-257,20-03-2025,Daire,100.0,25.0,Yüksek Giriş,Kayseri / Develi / İbrahimağa Mah.,1325000,TL,Kayseri,Develi,-0.139,3. Kademe,13250.0,1.0,5.0,Kombi,Doğu,Boş,2,1,0.0,0,0,1,0
99351-1881,https://www.hepsiemlak.com/eskisehir-odunpazari-kirmizitoprak-satilik/daire/99351-1881,23-04-2025,Daire,100.0,35.0,2. Kat,Eskişehir / Odunpazarı / Kırmızıtoprak Mah.,1325000,TL,Eskişehir,Odunpazarı,1.95,1. Kademe,13250.0,1.0,4.0,Kombi,"Doğu, Batı",Kiracılı,2,1,2.0,0,0,1,1
135035-763,https://www.hepsiemlak.com/samsun-ilkadim-selahiye-satilik/daire/135035-763,23-04-2025,Daire,135.0,26.0,6. Kat,Samsun / İlkadım / Selahiye Mah.,1325000,TL,Samsun,İlkadım,1.343,2. Kademe,9814.81,1.0,6.0,Kombi,Doğu,Boş,3,1,6.0,0,0,1,0
19374-1921,https://www.hepsiemlak.com/bursa-osmangazi-hocahasan-satilik/daire/19374-1921,20-04-2025,Daire,100.0,31.0,3. Kat,Bursa / Osmangazi / Hocahasan Mah.,1325000,TL,Bursa,Osmangazi,2.374,1. Kademe,13250.0,1.0,5.0,Doğalgaz Sobası,Güney,Boş,2,1,3.0,0,1,0,0
87047-2220,https://www.hepsiemlak.com/kayseri-kocasinan-alsancak-satilik/daire/87047-2220,25-04-2025,Daire,140.0,31.0,3. Kat,Kayseri / Kocasinan / Alsancak Mah.,1325000,TL,Kayseri,Kocasinan,1.558,2. Kademe,9464.29,1.0,4.0,Kombi,"Güney, Batı",Boş,3,1,3.0,0,1,0,1
54871-4702,https://www.hepsiemlak.com/hatay-antakya-serinyol-satilik/daire/54871-4702,17-02-2025,Daire,65.0,14.0,Ara Kat,Hatay / Antakya / Serinyol Mah.,1325000,TL,Hatay,Antakya,1.146,2. Kademe,20384.62,1.0,8.0,Merkezi,"Kuzey, Batı",Boş,2,1,4.0,1,0,0,1
110125-294,https://www.hepsiemlak.com/denizli-merkezefendi-degirmenonu-satilik/daire/110125-294,20-04-2025,Daire,40.0,7.0,3. Kat,Denizli / Merkezefendi / Değirmenönü Mah.,1325000,TL,Denizli,Merkezefendi,2.375,1. Kademe,33125.0,1.0,3.0,Yerden Isıtma,"Güney, Doğu",Boş,1,1,3.0,0,1,1,0
116281-143,https://www.hepsiemlak.com/kayseri-melikgazi-aydinlikevler-satilik/daire/116281-143,03-04-2025,Daire,110.0,26.0,Yüksek Giriş,Kayseri / Melikgazi / Aydınlıkevler Mah.,1325000,TL,Kayseri,Melikgazi,1.983,1. Kademe,12045.45,1.0,3.0,Kombi,"Güney, Doğu",Mülk Sahibi,2,1,0.0,0,1,1,0
128355-2007,https://www.hepsiemlak.com/ankara-mamak-general-zeki-dogan-satilik/daire/128355-2007,21-04-2025,Daire,95.0,22.0,Kot 3,Ankara / Mamak / General Zeki Doğan Mah.,1329000,TL,Ankara,Mamak,0.779,2. Kademe,13989.47,1.0,3.0,Kombi,Güney,Mülk Sahibi,1,1,-1.0,0,1,0,0
156050-4,https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-satilik/daire/156050-4,11-04-2025,Daire,60.0,4.0,2. Kat,Afyonkarahisar / Merkez / Erenler Mah.,1330000,TL,Afyonkarahisar,Merkez,1.178,2. Kademe,22166.67,1.0,4.0,Kombi,Doğu,Kiracılı,2,1,2.0,0,0,1,0
154555-17,https://www.hepsiemlak.com/kars-merkez-sehitler-satilik/daire/154555-17,04-04-2025,Daire,65.0,6.0,2. Kat,Kars / Merkez / Şehitler Mah.,1330000,TL,Kars,Merkez,0.398,2. Kademe,20461.54,1.0,5.0,Kombi,"Güney, Doğu",Boş,1,1,2.0,0,1,1,0
133722-166,https://www.hepsiemlak.com/duzce-merkez-orhangazi-satilik/daire/133722-166,04-03-2025,Daire,60.0,5.0,2. Kat,Düzce / Merkez / Orhangazi Mah.,1335000,TL,Düzce,Merkez,1.032,2. Kademe,22250.0,1.0,4.0,Kombi,Batı,Kiracılı,1,1,2.0,0,0,0,1
125806-536,https://www.hepsiemlak.com/adana-saricam-sofudede-satilik/daire/125806-536,14-04-2025,Daire,50.0,2.0,2. Kat,Adana / Sarıçam / Sofudede Mah.,1335000,TL,Adana,Sarıçam,0.862,2. Kademe,26700.0,1.0,8.0,Klima,"Güney, Doğu",Boş,1,1,2.0,0,1,1,0
142108-139,https://www.hepsiemlak.com/istanbul-esenyurt-mehtercesme-satilik/daire/142108-139,25-04-2025,Daire,90.0,1.0,3. Kat,İstanbul / Esenyurt / Mehterçeşme Mah.,1335000,TL,İstanbul,Esenyurt,2.479,1. Kademe,14833.33,1.0,5.0,Kombi,"Kuzey, Güney",Kiracılı,1,1,3.0,1,1,0,0
128551-409,https://www.hepsiemlak.com/adana-saricam-gultepe-satilik/daire/128551-409,28-02-2025,Daire,55.0,1.0,6. Kat,Adana / Sarıçam / Gültepe Mah.,1340000,TL,Adana,Sarıçam,0.862,2. Kademe,24363.64,1.0,14.0,Klima,"Kuzey, Doğu",Boş,1,1,6.0,1,0,1,0
128551-417,https://www.hepsiemlak.com/adana-saricam-gultepe-satilik/daire/128551-417,08-03-2025,Daire,55.0,1.0,6. Kat,Adana / Sarıçam / Gültepe Mah.,1340000,TL,Adana,Sarıçam,0.862,2. Kademe,24363.64,1.0,12.0,Klima,"Kuzey, Doğu",Boş,1,1,6.0,1,0,1,0
152275-141,https://www.hepsiemlak.com/mersin-mezitli-fatih-satilik/daire/152275-141,09-04-2025,Daire,50.0,6.0,4. Kat,Mersin / Mezitli / Fatih Mah.,1340000,TL,Mersin,Mezitli,1.147,2. Kademe,26800.0,1.0,4.0,Klima,Doğu,Kiracılı,1,0,4.0,0,0,1,0
124546-789,https://www.hepsiemlak.com/kayseri-kocasinan-yenisehir-satilik/daire/124546-789,05-04-2025,Daire,110.0,26.0,Yüksek Giriş,Kayseri / Kocasinan / Yenişehir Mah.,1345000,TL,Kayseri,Kocasinan,1.558,2. Kademe,12227.27,1.0,3.0,Kombi,"Kuzey, Batı",Mülk Sahibi,3,1,0.0,1,0,0,1
124546-781,https://www.hepsiemlak.com/kayseri-kocasinan-yenisehir-satilik/daire/124546-781,13-03-2025,Daire,125.0,30.0,Yüksek Giriş,Kayseri / Kocasinan / Yenişehir Mah.,1345000,TL,Kayseri,Kocasinan,1.558,2. Kademe,10760.0,1.0,2.0,Kombi,"Kuzey, Doğu",Mülk Sahibi,3,1,0.0,1,0,1,0
147535-456,https://www.hepsiemlak.com/kayseri-develi-sehit-ustegmen-hasan-sahan-satilik/daire/147535-456,17-03-2025,Daire,125.0,25.0,En Üst Kat,Kayseri / Develi / Şehit Üsteğmen Hasan Şahan Mah.,1349000,TL,Kayseri,Develi,-0.139,3. Kademe,10792.0,1.0,3.0,Soba,"Kuzey, Doğu, Batı",Boş,2,1,3.0,1,0,1,1
37307-471,https://www.hepsiemlak.com/istanbul-esenyurt-yesilkent-satilik/daire/37307-471,17-04-2025,Daire,90.0,1.0,5. Kat,İstanbul / Esenyurt / Yeşilkent Mah.,1349000,TL,İstanbul,Esenyurt,2.479,1. Kademe,14988.89,1.0,15.0,Kombi,"Kuzey, Güney",Boş,1,1,5.0,1,1,0,0
142780-210,https://www.hepsiemlak.com/samsun-ilkadim-zafer-satilik/daire/142780-210,19-04-2025,Daire,110.0,30.0,Ara Kat,Samsun / İlkadım / Zafer Mah.,1349000,TL,Samsun,İlkadım,1.343,2. Kademe,12263.64,1.0,4.0,Kombi,"Kuzey, Güney, Doğu, Batı",Kiracılı,2,1,2.0,1,1,1,1
